fetched_at,symbol,date,open,high,low,close,volume,prev_close,pct_change
2026-03-26 14:35:58,NABIL,2026-03-25,544.0,548.0,538.0,541.0,98120,544.6,-0.66
2026-03-26 14:35:58,ADBL,2026-03-25,328.5,340.0,328.5,333.2,79240,334.9,-0.51
2026-03-26 14:35:58,NTC,2026-03-25,932.0,932.0,900.0,902.2,10105,914.0,-1.29
2026-03-26 14:35:58,SCB,2026-03-25,693.6,693.6,676.2,677.0,22110,680.0,-0.44
2026-03-26 14:35:58,NICA,2026-03-25,387.0,404.9,387.0,396.4,430220,394.0,0.61
2026-03-26 14:40:02,NABIL,2026-03-25,544.0,548.0,538.0,540.8,100562,544.6,-0.70
2026-03-26 14:40:02,ADBL,2026-03-25,328.5,340.0,328.5,332.6,81874,334.9,-0.69
2026-03-26 14:40:02,NTC,2026-03-25,932.0,932.0,900.0,901.6,10891,914.0,-1.36
2026-03-26 14:40:02,SCB,2026-03-25,693.6,693.6,676.2,676.6,22875,680.0,-0.50
2026-03-26 14:40:02,NICA,2026-03-25,387.0,404.9,387.0,396.8,439105,394.0,0.71
2026-03-26 14:46:47,NABIL,2026-03-25,544.0,548.0,538.0,540.5,105247,544.6,-0.75
2026-03-26 14:46:47,ADBL,2026-03-25,328.5,340.0,328.5,332.0,84496,334.9,-0.87
2026-03-26 14:46:47,NTC,2026-03-25,932.0,932.0,900.0,900.4,11403,914.0,-1.49
2026-03-26 14:46:47,SCB,2026-03-25,693.6,693.6,676.2,676.2,23563,680.0,-0.56
2026-03-26 14:46:47,NICA,2026-03-25,387.0,404.9,387.0,397.0,447479,394.0,0.76
2026-03-26 14:51:07,NABIL,2026-03-25,544.0,548.0,538.0,539.0,111647,544.6,-1.03
2026-03-26 14:51:07,ADBL,2026-03-25,328.5,340.0,328.5,330.5,87062,334.9,-1.31
2026-03-26 14:51:07,NTC,2026-03-25,932.0,932.0,900.0,901.0,12713,914.0,-1.42
2026-03-26 14:51:07,SCB,2026-03-25,693.6,693.6,676.0,676.0,24790,680.0,-0.59
2026-03-26 14:51:07,NICA,2026-03-25,387.0,404.9,387.0,395.4,455233,394.0,0.36
2026-03-26 14:54:43,NABIL,2026-03-25,544.0,548.0,538.0,540.0,115030,544.6,-0.84
2026-03-26 14:54:43,ADBL,2026-03-25,328.5,340.0,328.5,330.0,103025,334.9,-1.46
2026-03-26 14:54:43,NTC,2026-03-25,932.0,932.0,895.0,900.0,15333,914.0,-1.53
2026-03-26 14:54:43,SCB,2026-03-25,693.6,693.6,676.0,676.0,24896,680.0,-0.59
2026-03-26 14:54:43,NICA,2026-03-25,387.0,404.9,387.0,398.9,466146,394.0,1.24
2026-03-26 14:59:38,NABIL,2026-03-25,544.0,548.0,538.0,540.0,121279,544.6,-0.84
2026-03-26 14:59:38,ADBL,2026-03-25,328.5,340.0,328.5,329.5,107842,334.9,-1.61
2026-03-26 14:59:38,NTC,2026-03-25,932.0,932.0,895.0,899.8,16492,914.0,-1.55
2026-03-26 14:59:38,SCB,2026-03-25,693.6,693.6,676.0,675.8,25941,680.0,-0.62
2026-03-26 14:59:38,NICA,2026-03-25,387.0,404.9,387.0,399.2,472601,394.0,1.32
